,support,itemsets,support_pct
555733,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q9_Legt Wert auf Nachhaltigkeit'})",100.0
555734,1.0,"frozenset({'Q29_Personen im Haushalt.3', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555735,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q29_BIK-Stadtregion (in Tausend)', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555736,1.0,"frozenset({'Q29_Nutzung quad Newsletter', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555737,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555738,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",100.0
555739,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q108_Beruf', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555740,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q109_BIK-Stadtregion (in Tausend)'})",100.0
555718,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q21_Nutzung quad Wahltarif'})",100.0
555717,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q21_Kontaktaufn.: Videotelefonie'})",100.0
555716,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q21_Nutzung quad Video-/Onlineberatung'})",100.0
555715,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q114_Bevorzugung stationäre Geschäfte vor Onlineshops', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555694,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q117_BKK.2'})",100.0
555695,1.0,"frozenset({'Q22_Verhältnis zu sozialen Medien.2', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555696,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q22_Digitalisierung ist eher positiv als negativ.2', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555697,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q22_Net Promoter Score', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555698,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q115_Geschlecht', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555699,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q115_Bildungsstatus', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555700,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q115_Berufstätigkeit des Befragten.2', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555701,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q101_Arbeitswochenstunden.3'})",100.0
555702,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q101_Beruf.2'})",100.0
555703,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q101_Haushaltstypologie.1'})",100.0
555704,1.0,"frozenset({'Q129_Personen im Haushalt.1', 'Q30_Berufstätigkeit des Befragten.1', 'Q102_Anzahl Endgeräte für Internetnutzung'})",100.0
555705,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q129_Alter'})",100.0
555706,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q129_Bundesländer.2'})",100.0
555707,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q128_Bundesländer.11'})",100.0
555708,1.0,"frozenset({'Q128_Schnäppchen-Jäger', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555709,1.0,"frozenset({'Q128_Guter Ruf.1', 'Q30_Berufstätigkeit des Befragten.1', 'Q102_Anzahl Endgeräte für Internetnutzung'})",100.0
555710,1.0,"frozenset({'Q100_Anpassung Zusatzbeitrag.1', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555711,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q100_Bundesländer.1'})",100.0
555712,1.0,"frozenset({'Q100_BKK (Fortsetzung).17', 'Q30_Berufstätigkeit des Befragten.1', 'Q102_Anzahl Endgeräte für Internetnutzung'})",100.0
555713,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q114_Arbeitswochenstunden.2', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555714,1.0,"frozenset({'Q114_Bundesländer.14', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555642,1.0,"frozenset({'Q23_Bundesländer.4', 'Q9_Net Promoter Score', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555640,1.0,"frozenset({'Q133_BKK (Fortsetzung).13', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555539,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q21_Nutzung quad Wahltarif'})",100.0
555576,1.0,"frozenset({'Q58_Reklamationszufriedenheit', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555566,1.0,"frozenset({'Q28_Berufstätigkeit des Befragten.4', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555567,1.0,"frozenset({'Q98_Haushaltstypologie.4', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555568,1.0,"frozenset({'Q98_Bevorzugung stationäre Geschäfte vor Onlineshops.2', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555569,1.0,"frozenset({'Q23_Bundesländer', 'Q98_Zuf. Aktive Betreuung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555570,1.0,"frozenset({'Q99_Zuf. Aktive Betreuung.2', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555571,1.0,"frozenset({'Q99_Gesetzliche Krankenkasse.2', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555572,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q23_Bundesländer', 'Q99_Vergleich Kassensysteme.1'})",100.0
555573,1.0,"frozenset({'Q70_63.89293945455572', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555574,1.0,"frozenset({'Q70_61.777600178356806', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555575,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q70_64.20520686777013'})",100.0
555577,1.0,"frozenset({'Q58_Kontaktaufn.: Videotelefonie', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555589,1.0,"frozenset({'Q62_Beruf.1', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555578,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q23_Bundesländer', 'Q58_Nutzung quad Video-/Onlineberatung'})",100.0
555579,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q59_BKK (Fortsetzung).8'})",100.0
555580,1.0,"frozenset({'Q59_Geschlecht', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555581,1.0,"frozenset({'Q23_Bundesländer', 'Q59_Geschlecht.1', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555582,1.0,"frozenset({'Q89_BKK', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555583,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q89_BKK.5'})",100.0
555584,1.0,"frozenset({'Q89_BKK (Fortsetzung).17', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555585,1.0,"frozenset({'Q76_94.55611866412475', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555586,1.0,"frozenset({'Q23_Bundesländer', 'Q76_83.2695611882146', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555587,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q76_80.46947200696766'})",100.0
555565,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q28_Nutzung quad persönl. Kundenbereich.1'})",100.0
555564,1.0,"frozenset({'Q28_Zuf. Schnelligkeit der Bearbeitung.1', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555563,1.0,"frozenset({'Q23_Bundesländer', 'Q109_Digitalisierung ist eher positiv als negativ', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555562,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q23_Bundesländer', 'Q109_Anzahl Endgeräte für Internetnutzung.3'})",100.0
555541,1.0,"frozenset({'Q131_Berufstätigkeit des Befragten.3', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555542,1.0,"frozenset({'Q131_Haushaltsnettoeinkommen in Euro', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555543,1.0,"frozenset({'Q23_Bundesländer', 'Q130_Kontaktaufn.: Videotelefonie', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555544,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q130_Berufstätigkeit des Befragten.3'})",100.0
555545,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q130_Alter'})",100.0
555546,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Nielsengebiete'})",100.0
555547,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Verhältnis zu sozialen Medien.2'})",100.0
555548,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Nutzung Payback'})",100.0
555549,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q23_Bundesländer', 'Q133_Kontaktaufn.: Kontaktformular Website'})",100.0
555550,1.0,"frozenset({'Q133_BKK (Fortsetzung).13', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555551,1.0,"frozenset({'Q133_Bildungsstatus', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555552,1.0,"frozenset({'Q23_Bundesländer', 'Q9_Net Promoter Score', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555553,1.0,"frozenset({'Q9_Kunden-begeisterung', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555554,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q9_Legt Wert auf Nachhaltigkeit'})",100.0
555555,1.0,"frozenset({'Q29_Personen im Haushalt.3', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555556,1.0,"frozenset({'Q29_BIK-Stadtregion (in Tausend)', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555557,1.0,"frozenset({'Q29_Nutzung quad Newsletter', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555558,1.0,"frozenset({'Q23_Bundesländer', 'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555559,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",100.0
555560,1.0,"frozenset({'Q108_Beruf', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555561,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q23_Bundesländer', 'Q109_BIK-Stadtregion (in Tausend)'})",100.0
555588,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q62_BIK-Stadtregion (in Tausend).4'})",100.0
555590,1.0,"frozenset({'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1', 'Q62_Bundesländer.5'})",100.0
555639,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q23_Bundesländer.4', 'Q133_Kontaktaufn.: Kontaktformular Website'})",100.0
555627,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q21_Nutzung quad Video-/Onlineberatung'})",100.0
555617,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q129_Bundesländer.2'})",100.0
555618,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q128_Bundesländer.11'})",100.0
555619,1.0,"frozenset({'Q128_Schnäppchen-Jäger', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555620,1.0,"frozenset({'Q128_Guter Ruf.1', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555621,1.0,"frozenset({'Q100_Anpassung Zusatzbeitrag.1', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555622,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q100_Bundesländer.1'})",100.0
555623,1.0,"frozenset({'Q100_BKK (Fortsetzung).17', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555624,1.0,"frozenset({'Q23_Bundesländer.4', 'Q114_Arbeitswochenstunden.2', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555625,1.0,"frozenset({'Q114_Bundesländer.14', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555626,1.0,"frozenset({'Q114_Bevorzugung stationäre Geschäfte vor Onlineshops', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555628,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q21_Kontaktaufn.: Videotelefonie'})",100.0
555591,1.0,"frozenset({'Q77_20.967204025320665', 'Q23_Bundesländer', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555629,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q21_Nutzung quad Wahltarif'})",100.0
555630,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q131_Bildungsstatus.2'})",100.0
555631,1.0,"frozenset({'Q131_Berufstätigkeit des Befragten.3', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555632,1.0,"frozenset({'Q131_Haushaltsnettoeinkommen in Euro', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555633,1.0,"frozenset({'Q23_Bundesländer.4', 'Q130_Kontaktaufn.: Videotelefonie', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555634,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q130_Berufstätigkeit des Befragten.3'})",100.0
555635,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q130_Alter'})",100.0
555636,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Nielsengebiete'})",100.0
555637,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Verhältnis zu sozialen Medien.2'})",100.0
555638,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Nutzung Payback'})",100.0
555616,1.0,"frozenset({'Q129_Alter', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555615,1.0,"frozenset({'Q129_Personen im Haushalt.1', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
